"SubjID","emotion","rating","condition"
8,"SURPRISED ",95.49225664,"Negative-Positive"
9,"ANGRY ",1.559934319,"Negative-Positive"
9,"BORED ",15.38040712,"Negative-Positive"
9,"DISAPPOINTED ",0.054738713,"Negative-Positive"
9,"LOVE ",99.80843329,"Negative-Positive"
9,"PROUD ",96.11385201,"Negative-Positive"
9,"DISGUSTED ",5.938699406,"Negative-Positive"
9,"AMAZED ",97.75588814,"Negative-Positive"
9,"HATE ",1.559934319,"Negative-Positive"
9,"GRUMPY ",33.30597024,"Negative-Positive"
9,"JEALOUS ",36.45320197,"Negative-Positive"
9,"SORRY ",22.35906065,"Negative-Positive"
9,"SAFE ",83.38807205,"Negative-Positive"
9,"HAPPY ",93.10344828,"Negative-Positive"
9,"SURPRISED ",47.40011782,"Negative-Positive"
9,"PLEASED ",87.08265333,"Negative-Positive"
9,"ANNOYED ",28.37986187,"Negative-Positive"
9,"WORRIED ",12.64367816,"Negative-Positive"
9,"NERVOUS ",7.1702265,"Negative-Positive"
9,"THANKFUL ",88.1773399,"Negative-Positive"
9,"EXCITED ",93.51395731,"Negative-Positive"
9,"CALM ",85.71428571,"Negative-Positive"
9,"LONELY ",21.12753356,"Negative-Positive"
9,"SCARED ",6.075533662,"Negative-Positive"
9,"RELAXED ",75.86206897,"Negative-Positive"
9,"EMBARRASSED ",16.47509996,"Negative-Positive"
9,"UPSET ",18.25397034,"Negative-Positive"
9,"SAD ",9.0859374,"Negative-Positive"
11,"JEALOUS ",25.21905805,"Bad-Good"
11,"ANNOYED ",10.84337349,"Bad-Good"
11,"SORRY ",30.69550931,"Bad-Good"
11,"DISGUSTED ",12.89704272,"Bad-Good"
11,"BORED ",46.71412924,"Bad-Good"
11,"AMAZED ",99.83570646,"Bad-Good"
11,"NERVOUS ",7.420591457,"Bad-Good"
11,"SAD ",1.944140197,"Bad-Good"
11,"DISAPPOINTED ",5.777656079,"Bad-Good"
11,"HAPPY ",87.51369113,"Bad-Good"
11,"CALM ",76.56078861,"Bad-Good"
11,"GRUMPY ",15.36144578,"Bad-Good"
11,"SAFE ",92.99014239,"Bad-Good"
11,"PLEASED ",69.03066813,"Bad-Good"
11,"ANGRY ",19.74260679,"Bad-Good"
11,"RELAXED ",98.0558598,"Bad-Good"
11,"SCARED ",20.4271632,"Bad-Good"
11,"HATE ",5.777656079,"Bad-Good"
11,"LOVE ",99.15115005,"Bad-Good"
11,"LONELY ",8.378970427,"Bad-Good"
11,"THANKFUL ",98.0558598,"Bad-Good"
11,"EXCITED ",90.52573932,"Bad-Good"
11,"WORRIED ",7.831325301,"Bad-Good"
11,"PROUD ",69.30449069,"Bad-Good"
11,"EMBARRASSED ",20.4271632,"Bad-Good"
11,"SURPRISED ",51.36911281,"Bad-Good"
11,"UPSET ",3.039430449,"Bad-Good"
12,"HAPPY ",95.18059609,"Bad-Good"
12,"WORRIED ",16.04074114,"Bad-Good"
12,"EMBARRASSED ",37.38766301,"Bad-Good"
12,"DISGUSTED ",25.15223715,"Bad-Good"
12,"NERVOUS ",9.532515473,"Bad-Good"
12,"DISAPPOINTED ",3.414811601,"Bad-Good"
12,"PLEASED ",83.72614138,"Bad-Good"
12,"ANNOYED ",36.99717744,"Bad-Good"
12,"THANKFUL ",71.62087134,"Bad-Good"
12,"SAD ",8.621379457,"Bad-Good"
12,"UPSET ",13.43745269,"Bad-Good"
12,"LOVE ",99.345854,"Bad-Good"
12,"ANGRY ",21.247309,"Bad-Good"
12,"RELAXED ",72.27168666,"Bad-Good"
12,"CALM ",79.43070048,"Bad-Good"
12,"BORED ",41.4227651,"Bad-Good"
12,"HATE ",38.16866132,"Bad-Good"
12,"SURPRISED ",68.23660269,"Bad-Good"
12,"JEALOUS ",44.546704,"Bad-Good"
12,"AMAZED ",78.51958258,"Bad-Good"
12,"SCARED ",23.0696082,"Bad-Good"
12,"SAFE ",83.98647113,"Bad-Good"
